"id","submitdate","lastpage","startlanguage","Q1S1","Q1a","Q2S1","Q3S2","Q3S3","Q3S4","Q3S5","Q3S6","Q4S1","Q4S2","Q4S3","Q5S1","Q5S2","Q5S3","Q6","Q7","Q8S1","Q8S2","Q8S3","Q8S4","Q9","Q10S2","Q10S3","Q10S4","Q10S5","Q10S6","Q11S2","Q11S3","Q11S4","Q11S5","Q11S6","Q11S7","Q12S1","Q12S2","Q202S1","Q202S2","Q202a","Q203S1","Q203S2","Q203a","Q204S1","Q204S2","Q204a","Q208S1","Q208S2","Q208a","Q207S1","Q207S2","Q207a","Q205S1","Q205S2","Q205a","Q206S1","Q206S2","Q206a","Q209S1","Q209S2","Q209a","Q201S1","Q201S2","Q201a","Q210S1","Q210S2","Q210a","Q211S1","Q211S2","Q211a","Q212S1","Q212S2","Q212a","Q213S1","Q213S2","Q213a","Q200S1","Q200S2","Q200a","Q103SQ001","Q103SQ002","Q103SQ003","Q104SQ001","Q104SQ002","Q104SQ003","Q104SQ004","Q105","Q14","Q14comment","Q16","Q17","Q18"
"31","","3","en","Vpos","A1","2fast","Somet","Usual","Somet","Alway","Alway","Teachers"," Learning new techniques and building skills","My group","Wednesday felt like  a day of practice for the Jamboree.  In the afternoon I heard groups across the campus playing the same songs over and over.    I understand feeling nervous, stressed  and distracted about performing especially if one is a beginner and it is important to have time to prepare.    I missed the focus, direction, and  learning of the two previous  days - it almost seemed like camp was over Tuesday evening.","","","","","EX","ADQ","ADQ","VG","","Vpos","Pos","Xpos","Xpos","Xpos","","","","","","","3","3","Xpos","Xpos","Scott is a wonderful teacher!   Sensitive, funny and has the personality for teaching.  He listened and seemed to understand what I needed even when I found it difficult to explain it.    He's a gift to the camp.","Xpos","Xpos","Steve is  great teacher!   He was  straight to the point,  provided  constructive criticism in an encouraging manner with faint praise,  and was delightful to be around.    He's ""a keeper."" ","Pos","Pos","There are some musicians who are naturally gifted as teachers.    Scooter (Scott) is a super nice person, knows his craft,  and is very present to his group.    I felt that he knew how to play an instrument so well it was difficult to explain it to students.  I felt in over my head.    I think he would be best with advanced students. ","Xpos","Xpos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","","1","en","Vpos","A1","2fast","Usual","Usual","Somet","Usual","Usual","Teachers","Learning techniques and building skills","Group","I felt that the focus for the  majority of the campers on Wednesday was practicing for the Jamboree and in many ways it was an all-day prep for the performance.  I understand the stress of performing and the need to practice.   I missed the focus and learning I experienced in the first two days.      I don't know that there is anything that can be done to change the vibe for the day - the performance is fun and a learning opportunity - I  wanted to be honest about how I experienced the day.  ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","","1","en","Vpos","A2","2slow","Alway","Alway","Rarel","Alway","Usual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","1980-01-01 00:00:00","5","en","Vpos","A2","2slow","Alway","Alway","Rarel","Alway","Somet","Getting to see the same students and instructors who come back every year. We're like family.","I'm impressed with how Pete takes the feedback seriously, and isn't afraid to change things from year to year.  Case in point:  eliminating the lengthy voting process for the two songs to do at Merlefest.  Here are some more:  the beginner bass class.  The dobro class.  The fiddle tune jam at 5:00.  ","The open mic and the jamboree, and especially the encouraging support from everyone there.  I love those evenings.  And the electives!","The tedious selection process for selecting jam groups on Monday morning.  The application clearly asks for our jamming experience, and Pete knows those of us who return every year.  I'd like to see the groups put in place before we arrive.  Of course there will be last minute changes due to latecomers, but the  process could be significantly streamlined.  My group was one of the last chosen, and we didn't get to start jamming until 11:00.","Some of the groups had members, first-timers who had self-designated ""intermediate"" but had not taken Pete's guidelines/rules to heart.  They were not prepared to lead songs and some said they didn't want to sing.  A lot of time was wasted while they flipped through song books trying to find a song, and then had to figure out the key.  Some of the coaches, if present, didn't move to correct the situation.  Perhaps mention could be made in the general session that anyone in the jam group could step up, take a leadership position, and suggest moving to the next person in the circle while the the unprepared person comes up with a song he wants to lead the next time around.","I feel we got mixed signals about the harmony singing class.  I thought it was optional.  I think it's vitally important for anyone who hasn't taken it or has a desire to take it, but for those of us who feel secure in our harmony singing, I would like to feel comfortable choosing another option.","A chord class for fiddle players.  We had some good players, but some had trouble leading songs because they didn't know the chords to the songs they wanted to sing, or they just wanted to do fiddle tunes and couldn't describe them to those who didn't know them.","The housekeeping aspects.  I could listen to Pete talk all day about bluegrass history, personalities, the music...  perhaps someone the other things might be edited.","VG","VG","VG","EX","I addressed this earlier.  People are told to come prepared to lead songs.  Doesn't necessarily happen.  Fines, perhaps?  (Just kidding)","Vpos","Xpos","Xpos","Xpos","Pos","","","","","","","5","5","","","","Xpos","Vpos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Xpos","Xpos","","A1","","","A1","A1","","","Mighty fine","","Don't remember, but seeing you on the Cabin Stage probably had something to do with it.","I truly admire Pete's dedication and  devotion to the cause.  He changed my life.","Keith Yoder is a gem.  I didn't have him as a coach this year, but his enthusiasm, disposition, and willingness to help anybody who needs help is a great asset.  And his improv class is the best. ",""
"35","","4","en","Xpos","A1","Right","Alway","Alway","Somet","Alway","Alway","The instructors and staff were great","Learned by doing, how vocals play an important role in music ","Learned TAB is not the way to play in a group","The only thing I see to improve is myself, the camp offered so much more than I could engage in and so  I will work to improve by playing music with others and be ready next year  ","camp was great","I thought it was very well executed","I really enjoyed the improvisation that was always around with the schedule and plans...was great to see how musicians handle bureaucracy....was inspiring and I thought it was entertaining as there was also a great sense of humor and just the joy of having fun ","Less rain...maybe...but playing live at Merlefest in the rain is such a great memory","EX","EX","EX","EX","I see no way to improve on it","Xpos","Xpos","Xpos","Xpos","Xpos","EX","VG","EX","EX","","","5","5","Xpos","Xpos","Great guy","Xpos","Xpos","amazing ","Xpos","Xpos","Scooter is cool","Xpos","Xpos","Always generous with her smiles","Xpos","Xpos","Keith is a lot of fun, hardworking too","Xpos","Xpos","Gilbert seems to me to be the best music coach I have ever met","Xpos","Xpos","always helpful and supportive","Xpos","Xpos","Dee is a great fellow","Vpos","Vpos","","Vpos","Vpos","","Vpos","Vpos","","Vpos","Vpos","","Vpos","Vpos","","Xpos","Xpos","great instructional leader, able to find the humor in anything at any moment , a natural gifted entertainer ","","","","","","","","","","","","",""
"36","1980-01-01 00:00:00","5","en","Xpos","A1","Right","Alway","Alway","Somet","Alway","Alway","learning a better way to play and relate ","the music coaching  staff was superb ","the opportunities to learn at every turn","it was great, no need to change it","","","the balance was fine","","EX","EX","EX","EX","","Xpos","Xpos","Xpos","Xpos","Xpos","EX","EX","EX","EX","EX","EX","5","5","Vpos","Vpos","","Vpos","Vpos","","Vpos","Vpos","","Xpos","Xpos","always generous with her smiles","Xpos","Xpos","great guy","Xpos","Xpos","The best music coach I have ever met","Xpos","Xpos","very helpful and a good leader","Xpos","Xpos","very helpful and good leader","Vpos","Vpos","","Vpos","Vpos","","Vpos","Vpos","","Vpos","Vpos","","Vpos","Vpos","","Xpos","Xpos","a natural entertainer, able to find humor at any given moment on any subject      very helpful with insights and tips","A1","","","","A1","A1","","food was great,,,,fresh and delicious with wide variety","A13","","Thanks for such a grand experience and for helping me to find a better path to playing music....I found that all the TAB i learned was not so directly useful to me

The entire program was exceptional but the unexpected surprise was playing live on stage at Merles fest...I had not really considered or envisioned that until we were on the bus headed to the stage.    That was a wonderful  and profound insight into the life of a performer, the bus ride to the backstage setting the mood and building excitement, waiting to go on stage and then playing in the rain to a huge crowd

I could see how a person could live for those moments and the exchange of energy.     As an introvert, I was happy to be a backrow backup and chorus player and I could imagine that those who took solos would be even more so elated by the experience.

I decided at camp that I was playing banjo for the wrong reasons and so I have switched to guitar and fortunate to have the guidance from the camp experience plus good friends and neighbors ( some from the camp) to work together and share music

Thanks for being an inspiration and for all the guidance and help

G","","Gary Lehew"
"37","","3","en","Xpos","A2","Right","Usual","Alway","Rarel","Alway","Alway","Meeting old friends and making new ones","Seeing Pete, Joan, Keith and Scott again, as well as other staff members","Watching a jam group come together and perform","Spending less time on organization matters, or being better organized for those necessary items","Do one song repetitively and improving on it each time. Do this at least once at the camp","","The mind set that you need to create to be on stage.
On You Tube, I looked up stage performance and TED talks and found much valuable incite.  I think the novices would benefit especially from that. I think Pete has done that in the past.","Do Not Know","VG","ADQ","VG","VG","Don't know.","Vpos","Xpos","Xpos","Xpos","Vpos","VG","","","","","ADQ","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","1980-01-01 00:00:00","5","en","Xpos","A2","Right","Usual","Alway","Rarel","Alway","Alway","Meeting old students and meeting new friends","Seeing once again Pete, Joan, Keith, and Scott.","Playing music together","More time jamming together","Working on ONE song and doing it really well. This would be only one part of the teaching experience","Less time on organizational details and more time discussing musicianship and performance","More performance discussion. Maybe more anecdotes from the experienced performers, The TED talks go into this on YouTube.  I would like to hear about Pete and Joan's performance and musical experience.","Less organizational time spent with the class.","EX","ADQ","EX","ADQ","?Don't know.","Xpos","Xpos","Xpos","Xpos","Vpos","VG","ADQ","","","","","5","5","Xpos","Xpos","Did not work with Scott this year.","","","Didn't work with him this year.","","","No contact this year.","Xpos","Xpos","Always a joy though no contact in small group this year.","Xpos","Xpos","THE BEST!  ANYWHERE!  Looking forward to more contact as a guitar teacher.","Vpos","Vpos","Did not work with this year.","Xpos","Xpos","Always a good teacher. Very supportice and helpful in jams. No formal contact this year except in jams.","Vpos","Vpos","Good. But talks some what ""text booky"".  What I mean is his teaching style is as if he is reading from a script, formal and lacking in emphasis.","","","No Contact","Xpos","Xpos","A gem!  I enjoyed very much her leading or coaching our jam group.  I think will be an excellent teacher. I look forward to having her as a teacher again. ","","","Not enough time to tell. He did I think play the base for us. But limited verbal contact.","Vpos","Vpos","I think will be very good. Contact limited to his playing the base for us. I think he was acting more as a teacher as time went by.  I would like to spend more time with him.","","","No Contact","Xpos","Xpos","Always a joy.  Most appreciate his leadership and ability to get to the important points of musicianship and performance.  Appreciate his frankness and honesty.
Consider him the main reason for my progress as amusician","","","","","","A2","","Not so good. Too much meat, limited salad bar, little vegetarian choices. Breakfast very limited. Not really healthy choices as has been in the past.","A12","I will be back next year.  I look forward to next years camp from May till next April
Wish the camp in Boomer was twice a year.
THANK YOU","Pete,
Thank you so much for the confidence you have shown in letting me perform my little verse on stage. I know you were worried that I would screw it up.
I will tell you that I wanted to get it right to a large degree because of your desire for ME to get it right and to pull off a successful performance. I felt the power of your personality and musicianship behind me and so,  I think, did just fine .  I fully realize the support and good wishes of all the other jam mates and benefited from them.
Thank You.  See you next year if not sooner.                       Lou,    Your student and friend.
","Jan Camp at Boomer , what I look forward to all year.","Louis Kandl"
"39","1980-01-01 00:00:00","5","en","Vpos","A2","Right","Usual","Usual","Rarel","Usual","Usual","playing music !","learning new techniques","comraderie","add a day would be nice","better instrument classes ( seemed kind of random - no handouts or much specific)","a little more time for jamming if possible","As I mentioned, a little more time for jamming - maybe the instrument classes could be a little shorter and more focused","I mentioned a little less time on instrument classes","VG","ADQ","ADQ","VG","","Vpos","Vpos","Vpos","Pos","Pos","","","","","ADQ","ADQ","3","4","Vpos","Vpos","","Vpos","Vpos","","Vpos","Vpos","","Vpos","Vpos","","Xpos","Xpos","All the teachers were good but Keith is really exceptional. He truly has the heart of a teacher","Vpos","Vpos","I have heard that Gilbert is also a gifted teacher but I didn't work with him directly","","","","","","","","","","","","","","","","","","","","","","Vpos","Vpos","Tremendous experience gives him good insight on issues","","","","A2","A2","A2","","Fine - as long as there is a salad bar I am covered regardless of the entree and there was so I was fine","A13","","","",""
"40","1980-01-01 00:00:00","5","en","Vpos","A1","2fast","Usual","Usual","Somet","Alway","Alway","Teachers","Learning techniques and developing skills","Group","","","","","","VG","ADQ","VG","VG","","Vpos","Pos","Xpos","Xpos","Xpos","","","","","","","3","3","Xpos","Xpos","Excellent teacher.   Patient, good listener and great sense of humor.   Thoroughly enjoyed working with him. ","Xpos","Xpos","Excellent teacher.    Provided constructive criticism with encouragement and humor.   Thoroughly enjoyed working with him.","Vpos","Vpos","Master musician, knows his craft.   Friendly, eager to share.   Would work best with advanced students.   ","Xpos","Xpos","Excellent teacher.    Patient, calm, aware of what individuals need within a group, fun.    Joan could teach how to pour water and I would be enthralled.   ","Xpos","Xpos","A gifted, inspiring  teacher.    I learned so much from working with Keith.  He opened the door to possibilities I didn't know existed.  Priceless experience.","Xpos","Xpos","Excellent teacher.    Patient, fun, and very supportive.   Enjoyed working with him. ","","","","","","","","","","","","","Vpos","Vpos","","Vpos","Vpos","","","","","Xpos","Xpos","Excellent teacher.      Straight forward,  great sense of humor,  provided constructive criticism with encouragement.     ","","","","","","","","Appreciated healthy items on the menu.     Staff very helpful. ","A13","","","",""
"41","","0","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","","3","en","Vpos","A2","Right","Usual","Alway","Rarel","Alway","Usual","Instrumental breakouts were great this year!  Good mix of instruction and working on fun songs in my bass group.","All instructors that I worked with were top-notch, including the new folks.  I had the opportunity to work with both Brandon and Cecil, and was really impressed with their contributions.","","With 80 attendees there needs to be more pre-planning for jam groups.  There was a LOT of time spent on dividing attendees into the small jam groups, which felt unorganized and used a lot of time on the first day.  I know the task can be monumental, but it seems that most campers are returnees, thus there should be some knowledge of their skill levels.  Perhaps more specific questions could be added to the sign up sheet to help with that process.","80 attendees is huge for this camp. Consider a lower maximum...","Seemed to be a great emphasis on performances over the last couple of days.  Maybe just have open mics on Tuesday and Wednesday instead of a ""required"" jam group performance.","Maybe mix up the jam groups a little more frequently.  I understand this can be a difficult task.","Less emphasis on performances","VG","ADQ","EX","EX","No changes needed here.  Good info included in all communications.","Vpos","Vpos","Vpos","Vpos","Xpos","","","","VG","","","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","","3","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","1980-01-01 00:00:00","5","en","Xpos","A2","Right","Alway","Alway","Rarel","Alway","Alway","Jamming with friends","Wednesday nite ","Interacting with Keith and Scott","","","","","","VG","ADQ","VG","ADQ","","Vpos","Xpos","Xpos","Xpos","Xpos","","","","","","VG","4","5","Xpos","Pos","Not his fault I'm just a slow learner.","","","","","","","Xpos","Vpos","","Xpos","Vpos","","Vpos","Vpos","Just has singing sessions with Gilbert, but they were fun.","","","","","","","","","","Vpos","Vpos","","","","","","","","","","","","","","","","","","A1","A1","","I'm sure it's wonderful, but a little to ""health conscious"" for my tastes.","A13","","","","Mickey Luck"
"45","1980-01-01 00:00:00","5","en","Pos","A2","2slow","Usual","Usual","","","Usual","Jamming with nice folks.","Instructors were helpful and knowledgeable .","I like that the Wed night performance preparation has been de-emphasized.","Be more concise.   Too much talk in morning general sessions.","","","","","VG","ADQ","SP","ADQ","","Pos","Xpos","Pos","Neg","Pos","","","","","VG","ADQ","5","3","Xpos","Xpos","Excellent teacher.  Always helpful.   Easy to get along with.","","","","Vpos","Vpos","","","","","Xpos","Xpos","Great versatile player.  Often gets you out of the box and offers suggestions  that often aren't thought of.   Best teacher ever!!","Vpos","Vpos","","","","","Vpos","Xpos","Good teacher.  Pleasant to work with.","","","","","","","Pos","Vpos","","","","","","","","Pos","Vpos","","","","","A2","A2","","","OK.    ","A13","","","",""
"46","1980-01-01 00:00:00","5","en","Xpos","A2","Right","Usual","Alway","Rarel","Alway","Somet","the feeling of getting to know people, being a returning camper","all the afterhours informal fun jams","being in one group all week, jamming a lot, not focusing on Wed. night performance","making sure that all groups have a coach every session, our group did not","Maybe play more group songs in the morning all together session, that is fun to me, not just the two that will be performed on the cabin stage","","Would not change, think it is a good mix","same as above","EX","EX","EX","EX","Maybe people's email addresses shared before?","Xpos","Xpos","Xpos","Xpos","","VG","EX","EX","EX","VG","","5","5","Xpos","Xpos","Scott is the soul of patience--always learn something from him, he is always clear in his teaching","Vpos","Vpos","Enjoyed Steve, good comments from him, even though he was under the weather","Vpos","Vpos","","","","didn't get to have Joan this time","","","didn't have Keith this time","Xpos","Xpos","Taught us quickly some great fillers for songs","","","Didn't have Leigh this time","Xpos","Xpos","Good insight on singing techniques;  also interesting background on songs--learned that a fresh look at an old song could change it up","","","Did not have him","Xpos","Xpos","Learned some good techniques,  but also a relaxed outlook on  how to play my instrument; stay in the beat, okay if notes aren't perfect.","","","Did not have him","","","Did not have him","","","Did not have him","Xpos","Xpos","As always, corrected something I had not understood","","","","A1","A1","","","Thought it was good;  maybe less variety than last year.","A10","John Bishop","Don't retire yet!!  Keep doing it!!!","","Donna Ketron"
"47","1980-01-01 00:00:00","5","en","Xpos","A1","Right","Alway","Alway","Rarel","Alway","Alway","Great instructors, especially Gilbert Nelson","Nice facility with good food.","Options for learning new skills like the upright bass and harmony singing.","","","","","","EX","EX","EX","EX","","Xpos","Xpos","Xpos","Xpos","Xpos","EX","EX","EX","EX","EX","EX","5","5","","","","","","","","","","","","","","","","Xpos","Xpos","Gilbert is a wonderful instructor. He keeps it fun, fast paced, encourages all students and gives good feedback. He facilitated jamming groups on the opening day, Sunday, before any classes started and on several evenings. ","Xpos","Xpos","Leigh and Gilbert make a great team. ","Xpos","Xpos","Dee was very helpful in getting my lead guitar playing skills moving forward.","Xpos","Xpos","Cecil was a great harmony singing coach.","","","","","","","","","","","","","Xpos","Xpos","Pete did a great job leading the program, keeping it on schedule and giving big picture instruction. ","","","","","","","","The food was good and met my expectations for a YMCA type camp. It was always timely and had a good variety over the 4 days.","A2","","I'm seeing the Wernick method being taught in more places around the country. A number of sessions are listed in the Bluegrass Today events calendar. It seems to be expanding nicely and helping to promote bluegrass jamming to a growing audience who might not have tried it otherwise. I think the bluegrass festivals can be a great source of new students. Thanks for what you are doing!","",""
"48","","1","en","Xpos","A2","Right","Alway","Alway","Rarel","Alway","Usual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","","1","en","Xpos","A2","Right","Usual","Alway","Rarel","Usual","Usual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","","1","en","Xpos","A1","Right","Usual","Usual","Somet","Alway","Alway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","1980-01-01 00:00:00","5","en","Vpos","A2","2slow","Alway","Somet","Rarel","Alway","Alway","After hours jams and the on stage performance.","Instrument classes.","Excellent coaches and instructors.  Cecil did a fantastic job helping me sing tenor harmony.","Switching up of jam groups.  My group was somewhat slow paced and it would have been great to pick with other people.","It would be nice if the part of the jams or class focus included a few fiddle tunes for those of us that enjoy fiddle tunes.","A class on finding and picking out the melody of vocal songs on your instrument.","Ear training for melody lines.","The songs/rehearsal for the cabin stage performance.","VG","VG","VG","EX","","Vpos","Xpos","Xpos","Neg","Vpos","VG","NM","VG","VG","EX","","5","5","Xpos","Xpos","","Xpos","Xpos","The group was in awe of Steve's guitar picking.  He did a good job trying to slow things down and explain things.  He also gave us different exercises to work on. ","Pos","Pos","","","","","Xpos","Xpos","Keith might just be the best music instructor I have ever learned from!   His improve class put me in a magical music moment.  He was totally inspiring and I look forward to my next experience with the awesome teacher and player!","","","","","","","Vpos","Vpos","","Xpos","Xpos","Cecil did a great job helping me sing harmony.  He also did a very good job coaching the jam group.  I was also able to watch Cecil work his teaching magic in our after hours fiddle tune jam.  We had five fiddles going and it was great to see him start the tune off really slow and work in speed as folks caught on.","","","","","","","","","","","","","","","","A1","","","A2","A2","","A2","The food was great.","A13","We heard about the camp from Liam and William Purcell.","Overall it was a great experience and I am already looking forward to next year's camp.","","Eric Moore"
"52","1980-01-01 00:00:00","5","en","Xpos","A2","Right","Alway","Alway","Rarel","Alway","Alway","One on one with the instructors. Besides being world class musicians, they were extremely knowledgeable and very helpful.","Great atmosphere and location","Pete was a great facilitator and instructor. It was my great privilege and pleasure to meet him.","I would work in the costs of 3 meals a day into the camp tuition.","Add an evening for the instructors to perform.","Offer some T-shirts for sale","No change. Everything was well-balanced","Nothing to add here.","EX","EX","EX","EX","No issue here","Xpos","Xpos","Xpos","Xpos","Xpos","EX","EX","EX","EX","EX","EX","5","5","Xpos","Xpos","Great guy. Very supportive. World-class musician","Xpos","Xpos","Amazing guitar player. readily showed guitar techniques and very patient. Good guy.","Xpos","Xpos","Laid back, great musician, very friendly and encouraging.","Xpos","Xpos","Great personality. Really encouraging. Loved her great bluegrass voice.","Xpos","Xpos","Keith was great. Really helped us understand ways to improve song arrangements. We came to camp as a band and had a great time with him. We improved as a band because of him. ","","","I didn't have Gilbert as an instructor but I got a good positive vibe from him.","","","No interaction with Leigh","","","Got positive vibes from him.","","","Didn't interact with Cecil.","","","Didn't interact with Julie.","","","Didn't interact with Zeb.","Xpos","Xpos","He was helpful in providing insight into our arrangements of songs.","","","Didn't interact with Liam.","Xpos","Xpos","Great group leader. Very encouraging.","A1","A1","","A1","A1","A1","","Good","A13","","","","Michael Paris"
"53","1980-01-01 00:00:00","5","en","Xpos","A2","Right","Usual","Alway","Somet","Alway","Alway","Bacon!!!!","Bacon!!!!","Good Setting","Less rain","More Bacon!","Option to stay over thursday night","","","VG","VG","VG","VG","","Xpos","Vpos","Vpos","Xpos","Xpos","","","","VG","VG","VG","5","5","Xpos","Xpos","","Xpos","Vpos","","","","","Xpos","Xpos","Best Coach we ever had!","Xpos","Xpos","","","","","","","","","","","","","","","","","","","","","","","","","","Xpos","Xpos","","A2","A2","A2","A2","A2","A2","A2","","A13","","","",""
"54","1980-01-01 00:00:00","5","en","Xpos","A1","2fast","Usual","Alway","Rarel","Alway","Alway","Gilbert Nelson's Teaching  Style - He was fantastic","Meeting others","Overall support by all that attended the camp","A little more instrument  instruction","The camp was very large and there were a few times locations, what's next, etc. was confusing","Nothing else","Individual instrument focus","Don't know","EX","VG","EX","ADQ","There was a lot of information to sort through and the materials did not provide me with what was most important for me to focus on prior to arrival.  A simple checklist would be very helpful with the back up materials then provided. For example, as a first time jam camper I did not know I would need to sing solos and be prepared to lead a jam. A checklist item that says be prepared with X number of memorized songs, then the back up materials could provide the list of possibilities.","Xpos","Xpos","Xpos","Xpos","Xpos","VG","VG","VG","EX","EX","VG","5","5","","","","","","","Pos","Pos","Im a novice and it was above my skill level","Vpos","Vpos","","","","","Xpos","Xpos","He was they BEST. Easy to understand. I learned a great deal that will help me. Gilbert was the reason I have signed up for another jam camp","Xpos","Xpos","Very supportive","","","","","","","","","","","","","","","","","","","","","","","","","","A1","A1","","","","Saw the camp perform at Bristol last year","","",""
"55","1980-01-01 00:00:00","5","en","Vpos","A2","2slow","Usual","Usual","Rarel","Alway","Somet","The friendly atmosphere and sense of everyone encouraging each other","The opportunity to jam a lot in small groups","Having plenty of different things going on during the day","Have someone whose specific job it was to organise and facilitate (eg the organisation of the small groups) so that Pete could be more free to teach and oversee. A few times there was confusion over who was in what group and it felt like that took time out of the actual sessions","For the coaches to have more of a directional and instructional remit when we're jamming. A few times it felt like they were just there to sit in and keep things moving, which was fine but sometimes would have appreciated more tips and advice on how we could sound better as a group","","The electives were all so interesting it would be nice to be able to go to more than one over the course of the camp. Definitely would have liked more on improvisation, the session with Keith was great","Felt like we spent a lot of time harmony singing in the afternoons but maybe that's because it was often the same song. ","VG","ADQ","VG","VG","Possibly just more on the admin of the camp and what to expect. Maybe some song lyrics for songs we're going to sing? The musical materials were great. ","Xpos","Xpos","Xpos","Vpos","Neg","","","","","VG","NM","5","5","Vpos","Vpos","","","","","","","","Xpos","Xpos","","Xpos","Xpos","","","","","Xpos","Xpos","","","","","","","","Xpos","Xpos","","","","","Xpos","Xpos","","","","","Xpos","Xpos","","A1","","","","A1","A1","A4","Very good and plentiful","A2","","","",""
"56","1980-01-01 00:00:00","5","en","Vpos","A2","Right","Usual","Alway","Rarel","Alway","Usual","The banjo lessons","The jambourie ","The singing lessons","","","","","","VG","VG","EX","VG","","Xpos","Xpos","Xpos","Xpos","Vpos","VG","VG","","VG","","VG","5","5","","","","","","","","","","","","","Xpos","Xpos","","Xpos","Xpos","","","","","","","","Xpos","Xpos","","","","","","","","","","","","","","Xpos","Xpos","","","","","A2","A1","A1","","Incredible ","A11","","","",""
"57","","1","en","Xpos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","","1","en","Xpos","A2","Right","Alway","Alway","Rarel","Usual","Alway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","","1","en","Xpos","A2","2fast","Somet","Alway","Rarel","Alway","Somet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","1980-01-01 00:00:00","5","en","Xpos","A2","Right","Alway","Alway","Rarel","Alway","Usual","Keith, Scott, Gilbert as instructors/coaches.  The others we had (Julie) were good, but those three were outstanding.","The after-hours jams with the instructors who stayed around.  ","The flexibility  and willingness of Pete, Joan, and the staff to accommodate requests for changes as needed.","Make the harmony singing workshop elective, and keep it that way.  Don't expect campers to be there if they already know how to harmonize, and don't get upset when it is not well attended.","Have dessert at lunch!","","Level-appropriate instrument instruction.  Maybe split large instrument instruction groups into two groups based on level?","Harmony singing as a stand-alone class.  Maybe offer it as an elective.","EX","EX","EX","EX","They were fine.","Xpos","Xpos","Xpos","Xpos","Vpos","","","","","","","5","4","Xpos","Xpos","Great ideas, very on-target with suggestions, and flexible.","","","","","","","Xpos","","I always enjoy interaction with Joan, and value her input, even when she does not directly coach my group.","Xpos","Xpos","Keith is one of the best instructors I've had in all areas. He is so knowledgable in so many areas, and is able to work with students at all levels, and make it fun!","Xpos","Xpos","I have loved any instruction I've had from Gilbert.  He is the best at breaking things down and making learning so much fun, regardless of student level.","Xpos","Xpos","Leigh is always so willing and positive with all her instruction.","","","","","","","Vpos","Vpos","Julie gives good input, but not enough of it, maybe due to her relatively young age and experience coaching.  Hopefully, she will develop confidence and assertiveness as she gains more experience.","","","","","","","","","","Pos","Vpos","For the most part, Pete seems to be easy-going and flexible, and when he provides input, it is welcomed, and based on knowledge and experience.  However, one size does not fit all, and he tends to apply pressure where it may not be needed. ","","","","A1","A1","A1","","It was very good, overall.  Good quality and selection.  I never went hungry!","","I saw a flyer in the Artists tent at Merlefest many years ago, and always wanted to attend.  ","I thoroughly enjoyed camp this year.  It brings together a great staff, quality instruction, and chances for jamming and building friendships.  I will certainly be back, as many seem to do!","Thanks for a wonderful experience!",""
